Created on 11-22-2020,
Unix Timestamp,Volume USD
1509235200,3090415.24
1509148800,790278.83
1509062400,1159444.54
1508976000,1058545.99
1508889600,1515582.32
1508803200,3015099.59
1508716800,1622815.83
1508630400,1808220.41
1508544000,2351339.97
1508457600,2684731.85
1508371200,1032729.06
1508284800,3747861.27
1508198400,1866379.14
1508112000,1226833.22
1508025600,1411578.48
1507939200,1337828.45
1507852800,3747132.71
1507766400,6225998.66
1507680000,637417.72
1507593600,807531.86
1507507200,1970847.71
1507420800,1327148.37
1507334400,392497.31
1507248000,569551.85
1507161600,399118.12
1507075200,552357.35
1506988800,796994.65
1506902400,1328503.23
1506816000,931859.8
1506729600,1339663.3
1506643200,1621391.06
1506556800,2797114.42
1506470400,1433022.29
1506384000,956944.01
1506297600,1214817.61
1506211200,336669.32
1506124800,955187.37
1506038400,1434675.82
1505952000,1727723.11
1505865600,1449654.33
1505779200,1696443.58
1505692800,5295798.26
1505606400,1849894.53
1505520000,6006498.26
1505433600,14691987.75
1505347200,6921576.43
1505260800,2386997.41
1505174400,3448303.16
1505088000,3101353.79
1505001600,4267017.4
1504915200,3306004.35
1504828800,8490320.9
1504742400,2943183.87
1504656000,3880383.37
1504569600,8021424.27
1504483200,7378382.73
1504396800,3083341.2
1504310400,7251596.67
1504224000,3542175.98
1504137600,3800019.95
1504051200,3544632.45
1503964800,4280101.03
1503878400,2816114.41
1503792000,2291014.24
1503705600,1051029.88
1503619200,2009218.14
1503532800,2764961.09
1503446400,3386989
1503360000,3044710.98
1503273600,2397043.08
1503187200,1794801.18
1503100800,2767654.78
1503014400,3688842.4
1502928000,3807076.2
1502841600,3544428.46
1502755200,4097275.93
1502668800,3454206.43
1502582400,8942247.74
1502496000,3898634.58
1502409600,2886058.59
1502323200,1903741.7
1502236800,3114574.1
1502150400,3426774.12
1502064000,2914550.99
1501977600,2502879.8
1501891200,5885444.7
1501804800,2438095.44
1501718400,2895920.39
1501632000,1768677.09
1501545600,6011214.72
1501459200,3107370.15
1501372800,2094714.82
1501286400,1578441.6
1501200000,4449686.68
1501113600,2369748.29
1501027200,2041537.69
1500940800,3911222.34
1500854400,1947915.31
1500768000,3415862.36
1500681600,3306885.41
1500595200,3271276.07
1500508800,6635727.89
1500422400,3500867.45
1500336000,4627862.47
1500249600,3523300.26
1500163200,3857813.98
1500076800,5333504.63
1499990400,3370833.6
1499904000,2679485.01
1499817600,2978976.63
1499731200,3396236.78
1499644800,3574720.14
1499558400,1590218.56
1499472000,1852009.52
1499385600,2970753.26
